city,year,metric,value,status,severity,rule_type,detail,source_url,is_official_source,extraction_method,recommended_action
Chongqing,2024,disposable_income,39713.0,SUSPICIOUS,MEDIUM,source,Chongqing 2024 disposable_income: extraction_method=regex_or_ocr,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202503/t20250326_14443791_wap.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Chongqing,2024,gdp_per_capita,100889.0,SUSPICIOUS,MEDIUM,source,Chongqing 2024 gdp_per_capita: extraction_method=regex_or_ocr,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202503/t20250326_14443791_wap.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Chongqing,2024,house_price,12575.0,SUSPICIOUS,LOW,source,Chongqing 2024 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/6/2024/),https://fangjia.gotohui.com/years/6/2024/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Chongqing,2024,population,31904699.999999996,SUSPICIOUS,MEDIUM,source,Chongqing 2024 population: extraction_method=regex_or_ocr,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202503/t20250326_14443791_wap.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Chongqing,2025,house_price,11196.416666666666,SUSPICIOUS,LOW,source,Chongqing 2025 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/6/2025/),https://fangjia.gotohui.com/years/6/2025/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Guangzhou,2021,house_price,34607.333333333336,SUSPICIOUS,LOW,source,Guangzhou 2021 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/3770/2021/),https://fangjia.gotohui.com/years/3770/2021/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Guangzhou,2022,gdp_per_capita,153625.0,SUSPICIOUS,MEDIUM,source,Guangzhou 2022 gdp_per_capita: extraction_method=regex_or_ocr,http://tjj.gz.gov.cn/stats_newtjyw/tjsj/tjgb/qstjgb/content/post_8972753.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Guangzhou,2022,house_price,32175.083333333332,SUSPICIOUS,LOW,source,Guangzhou 2022 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/3770/2022/),https://fangjia.gotohui.com/years/3770/2022/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Guangzhou,2022,population,18734100.0,SUSPICIOUS,MEDIUM,source,Guangzhou 2022 population: extraction_method=regex_or_ocr,http://tjj.gz.gov.cn/stats_newtjyw/tjsj/tjgb/qstjgb/content/post_8972753.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Guangzhou,2023,gdp_per_capita,161634.0,SUSPICIOUS,MEDIUM,source,Guangzhou 2023 gdp_per_capita: extraction_method=regex_or_ocr,http://tjj.gz.gov.cn/stats_newtjyw/tjsj/tjgb/qstjgb/content/post_9567759.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Guangzhou,2023,house_price,34597.166666666664,SUSPICIOUS,LOW,source,Guangzhou 2023 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/3770/2023/),https://fangjia.gotohui.com/years/3770/2023/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Guangzhou,2023,population,18827000.0,SUSPICIOUS,MEDIUM,source,Guangzhou 2023 population: extraction_method=regex_or_ocr,http://tjj.gz.gov.cn/stats_newtjyw/tjsj/tjgb/qstjgb/content/post_9567759.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Guangzhou,2024,gdp_per_capita,164171.0,SUSPICIOUS,MEDIUM,source,Guangzhou 2024 gdp_per_capita: extraction_method=regex_or_ocr,http://tjj.gz.gov.cn/stats_newtjyw/tjsj/tjgb/qstjgb/content/post_10203416.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Guangzhou,2024,house_price,34033.666666666664,SUSPICIOUS,LOW,source,Guangzhou 2024 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/3770/2024/),https://fangjia.gotohui.com/years/3770/2024/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Guangzhou,2024,population,18978000.0,SUSPICIOUS,MEDIUM,source,Guangzhou 2024 population: extraction_method=regex_or_ocr,http://tjj.gz.gov.cn/stats_newtjyw/tjsj/tjgb/qstjgb/content/post_10203416.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Guangzhou,2025,disposable_income,80591.0,SUSPICIOUS,MEDIUM,source,Guangzhou 2025 disposable_income: extraction_method=regex_or_ocr,http://tjj.gz.gov.cn/stats_newtjyw/tjsj/tjgb/qstjgb/content/post_10800227.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Guangzhou,2025,gdp_per_capita,168279.0,SUSPICIOUS,MEDIUM,source,Guangzhou 2025 gdp_per_capita: extraction_method=regex_or_ocr,http://tjj.gz.gov.cn/stats_newtjyw/tjsj/tjgb/qstjgb/content/post_10800227.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Guangzhou,2025,house_price,33395.166666666664,SUSPICIOUS,LOW,source,Guangzhou 2025 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/3770/2025/),https://fangjia.gotohui.com/years/3770/2025/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Guangzhou,2025,population,19101000.0,SUSPICIOUS,MEDIUM,source,Guangzhou 2025 population: extraction_method=regex_or_ocr,http://tjj.gz.gov.cn/stats_newtjyw/tjsj/tjgb/qstjgb/content/post_10800227.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Hangzhou,2021,disposable_income,67709.0,SUSPICIOUS,MEDIUM,source,Hangzhou 2021 disposable_income: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/25516.html); extraction_method=regex_or_ocr,https://tjgb.hongheiku.com/djs/25516.html,False,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Hangzhou,2021,gdp_per_capita,149857.0,SUSPICIOUS,MEDIUM,source,Hangzhou 2021 gdp_per_capita: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/25516.html); extraction_method=regex_or_ocr,https://tjgb.hongheiku.com/djs/25516.html,False,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Hangzhou,2021,house_price,31069.166666666668,SUSPICIOUS,LOW,source,Hangzhou 2021 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/3759/2021/),https://fangjia.gotohui.com/years/3759/2021/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Hangzhou,2021,innovation_index,194.7,SUSPICIOUS,MEDIUM,source,Hangzhou 2021 innovation_index: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/25516.html),https://tjgb.hongheiku.com/djs/25516.html,True,manual_web,verify_official: check if source_url is from statistics bureau / government official source
Hangzhou,2021,population,12204000.0,SUSPICIOUS,MEDIUM,source,Hangzhou 2021 population: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/25516.html); extraction_method=regex_or_ocr,https://tjgb.hongheiku.com/djs/25516.html,False,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Hangzhou,2022,disposable_income,70281.0,SUSPICIOUS,MEDIUM,source,Hangzhou 2022 disposable_income: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/37237.html); extraction_method=regex_or_ocr,https://tjgb.hongheiku.com/djs/37237.html,False,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Hangzhou,2022,gdp_per_capita,152588.0,SUSPICIOUS,MEDIUM,source,Hangzhou 2022 gdp_per_capita: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/37237.html); extraction_method=regex_or_ocr,https://tjgb.hongheiku.com/djs/37237.html,False,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Hangzhou,2022,house_price,25874.083333333332,SUSPICIOUS,LOW,source,Hangzhou 2022 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/3759/2022/),https://fangjia.gotohui.com/years/3759/2022/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Hangzhou,2022,innovation_index,222.0,SUSPICIOUS,MEDIUM,source,Hangzhou 2022 innovation_index: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/37237.html),https://tjgb.hongheiku.com/djs/37237.html,True,manual_web,verify_official: check if source_url is from statistics bureau / government official source
Hangzhou,2022,population,12376000.0,SUSPICIOUS,MEDIUM,source,Hangzhou 2022 population: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/37237.html); extraction_method=regex_or_ocr,https://tjgb.hongheiku.com/djs/37237.html,False,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Hangzhou,2023,disposable_income,73797.0,SUSPICIOUS,MEDIUM,source,Hangzhou 2023 disposable_income: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/45617.html); extraction_method=regex_or_ocr,https://tjgb.hongheiku.com/djs/45617.html,False,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
